,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
162214,SE,visadebit,453903.0,380000.0,SEK,SE,Ecommerce,TRUE,1,1440799592.0,SwedenAccount,183981,135804,187951,1,2015-8-29
162333,MX,visaclassic,477291.0,99800.0,MXN,MX,Ecommerce,TRUE,0,1438562568.0,MexicoAccount,171719,68604,240559,1,2015-8-3
162334,MX,visaplatinum,477214.0,119940.0,MXN,MX,Ecommerce,TRUE,0,1438572073.0,MexicoAccount,45466,80018,182393,1,2015-8-3
162335,MX,visaclassic,477291.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1438606075.0,MexicoAccount,110896,79213,217683,1,2015-8-3
162336,MX,mccredit,517712.0,199900.0,MXN,MX,Ecommerce,TRUE,0,1438616121.0,MexicoAccount,252743,110195,100209,1,2015-8-3
162337,MX,mccredit,557910.0,95900.0,MXN,MX,Ecommerce,TRUE,0,1438635086.0,MexicoAccount,146808,77056,253893,1,2015-8-3
164587,MX,visaplatinum,477214.0,189800.0,MXN,MX,Ecommerce,TRUE,0,1440895072.0,MexicoAccount,85684,84133,185007,1,2015-8-30
166405,MX,mccredit,528843.0,149900.0,MXN,MX,Ecommerce,TRUE,0,1441041893.0,MexicoAccount,125640,67696,212019,1,2015-8-31
166406,MX,visaplatinum,477214.0,182800.0,MXN,MX,Ecommerce,TRUE,0,1441055469.0,MexicoAccount,85716,79978,88606,1,2015-8-31
168561,MX,mccredit,520416.0,103900.0,MXN,MX,Ecommerce,TRUE,0,1438671111.0,MexicoAccount,205214,66724,213179,1,2015-8-4
168562,MX,visadebit,441545.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1438678284.0,MexicoAccount,136002,66496,77403,1,2015-8-4
168672,AU,visaclassic,456450.0,14850.0,AUD,AU,Ecommerce,TRUE,0,1438684946.0,APACAccount,336233,157438,16444,1,2015-8-4
170752,MX,visagold,477213.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1438738649.0,MexicoAccount,92803,69307,248056,1,2015-8-5
